ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,M. PENG Chang Hua,M. COUMET Jérôme,M. OLIVIER Jean-Baptiste,M. GRÉGOIRE Emmanuel,Mme MAZETIER Sandrine,Mme MONTANDON Valérie,Mme HERVIEU Céline    ,M. GANTZER Gaspard    ,M. LECOQ Jean-Pierre    ,M. FORT Bertil,Mme CORDEBARD Alexandra    ,M. AMELLAL Karim,M. RUPIN Pacôme    ,M. VÉRON Aurélien,M. WEIL Ariel,Mme LEMARDELEY Marie-Christine,Mme BERTHOUT Florence,Mme Garnier Nelly,M. VAUGLIN François,M. POITOUX Guillaume,Mme IBLED Catherine,Mme EVREN Agnès,Mme TORANIAN Anouch,M. VILLANI Cédric,Mme CARRERE-GEE Marie-Claire,M. AZIERE Éric,PETIT Carine,M. SZPINER Francis,Mme SEBBAH Hanna,Mme BUZIN Agnès ,M. BOULARD Geoffroy    ,Mme TAÏEB Karen,M. ROUXEL Olivier,DAGNAUD François,Mme TOUBIANA Marie,LEJOINDRE Eric,BOURNAZEL Pierre-Yves,M. GRANIER Rudolph,M. PLIEZ Eric,M. DIDIER François-Marie,Mme SIMONNET Danielle,Mme CALANDRA Frédérique,Mme D'HAUTESERRE Jeanne,Mme LÉCUYER Catherine   ,Mme MICHEL Athénaïs,Mme SEGOND Sophie    ,M. MAURIN Pierre,Mme BURKLI Delphine,M. NGATCHA Arnaud
12-1,Municipales,2020,2,2020-06-28,8,46,12,1,42,1230,527,527,4,5,518,,,,325.0,50.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-2,Municipales,2020,2,2020-06-28,8,46,12,2,19,1302,452,452,10,5,437,,,,285.0,30.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-3,Municipales,2020,2,2020-06-28,8,46,12,3,21,1391,492,492,9,8,475,,,,252.0,65.0,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-4,Municipales,2020,2,2020-06-28,8,46,12,4,27,1456,542,542,12,6,524,,,,274.0,54.0,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-5,Municipales,2020,2,2020-06-28,8,46,12,5,36,1441,578,578,9,12,557,,,,252.0,67.0,238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-6,Municipales,2020,2,2020-06-28,8,46,12,6,76,1549,616,616,15,10,591,,,,306.0,74.0,211.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-7,Municipales,2020,2,2020-06-28,8,46,12,7,49,1516,723,723,8,5,710,,,,328.0,109.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-8,Municipales,2020,2,2020-06-28,8,46,12,8,26,1424,510,510,10,9,491,,,,251.0,58.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-9,Municipales,2020,2,2020-06-28,8,46,12,9,25,1437,443,443,12,10,421,,,,231.0,52.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-10,Municipales,2020,2,2020-06-28,8,46,12,10,27,1538,542,542,8,3,531,,,,323.0,57.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-11,Municipales,2020,2,2020-06-28,8,46,12,11,41,1371,539,539,4,6,529,,,,300.0,61.0,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-12,Municipales,2020,2,2020-06-28,8,46,12,12,33,1544,625,625,14,9,602,,,,359.0,83.0,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-13,Municipales,2020,2,2020-06-28,8,46,12,13,38,1469,617,616,13,9,594,,,,362.0,73.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-14,Municipales,2020,2,2020-06-28,8,46,12,14,28,1387,510,510,4,7,499,,,,226.0,76.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-15,Municipales,2020,2,2020-06-28,8,46,12,15,24,1554,570,570,10,8,552,,,,317.0,64.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-16,Municipales,2020,2,2020-06-28,8,46,12,16,29,1370,569,569,8,3,558,,,,267.0,81.0,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-17,Municipales,2020,2,2020-06-28,8,46,12,17,29,1350,574,574,5,2,567,,,,259.0,75.0,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-18,Municipales,2020,2,2020-06-28,8,46,12,18,45,1397,629,629,11,2,616,,,,383.0,57.0,176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-19,Municipales,2020,2,2020-06-28,8,46,12,19,29,1579,568,568,5,6,557,,,,319.0,84.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-20,Municipales,2020,2,2020-06-28,8,46,12,20,42,1344,575,575,8,7,560,,,,313.0,65.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-21,Municipales,2020,2,2020-06-28,8,46,12,21,25,1606,623,623,12,4,607,,,,315.0,77.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-22,Municipales,2020,2,2020-06-28,8,46,12,22,27,1521,482,482,13,0,469,,,,281.0,46.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-23,Municipales,2020,2,2020-06-28,8,46,12,23,22,1392,501,501,14,6,481,,,,244.0,64.0,173.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-24,Municipales,2020,2,2020-06-28,8,46,12,24,15,1436,504,504,9,2,493,,,,307.0,48.0,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-25,Municipales,2020,2,2020-06-28,8,46,12,25,25,1546,538,538,13,9,516,,,,268.0,61.0,187.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-26,Municipales,2020,2,2020-06-28,8,46,12,26,33,1366,524,524,6,5,513,,,,232.0,63.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-27,Municipales,2020,2,2020-06-28,8,46,12,27,21,1382,564,564,14,9,541,,,,317.0,45.0,179.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-28,Municipales,2020,2,2020-06-28,8,46,12,28,18,1388,480,481,12,6,463,,,,224.0,58.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-29,Municipales,2020,2,2020-06-28,8,46,12,29,21,1376,465,465,7,3,455,,,,194.0,61.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-30,Municipales,2020,2,2020-06-28,8,45,12,30,40,1385,619,619,10,5,604,,,,285.0,67.0,252.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-31,Municipales,2020,2,2020-06-28,8,45,12,31,37,1441,579,579,10,4,565,,,,290.0,67.0,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-32,Municipales,2020,2,2020-06-28,8,45,12,32,26,1505,597,597,6,4,587,,,,302.0,67.0,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-33,Municipales,2020,2,2020-06-28,8,45,12,33,37,1503,559,559,11,8,540,,,,282.0,59.0,199.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-34,Municipales,2020,2,2020-06-28,8,45,12,34,37,1562,668,668,8,5,655,,,,314.0,115.0,226.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-35,Municipales,2020,2,2020-06-28,8,45,12,35,26,1473,629,629,7,8,614,,,,264.0,82.0,268.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-36,Municipales,2020,2,2020-06-28,8,45,12,36,0,1385,476,476,11,2,463,,,,245.0,46.0,172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-37,Municipales,2020,2,2020-06-28,8,45,12,37,13,1344,454,454,16,2,436,,,,215.0,60.0,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-38,Municipales,2020,2,2020-06-28,8,45,12,38,17,1552,575,575,6,5,564,,,,292.0,88.0,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-39,Municipales,2020,2,2020-06-28,8,45,12,39,25,1219,470,470,5,7,458,,,,224.0,65.0,169.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-40,Municipales,2020,2,2020-06-28,8,45,12,40,0,1278,499,500,9,8,483,,,,270.0,74.0,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-41,Municipales,2020,2,2020-06-28,8,45,12,41,21,1283,526,526,10,5,511,,,,260.0,80.0,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-42,Municipales,2020,2,2020-06-28,8,45,12,42,29,1360,517,517,7,8,502,,,,288.0,57.0,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-43,Municipales,2020,2,2020-06-28,8,45,12,43,11,1165,397,398,12,4,382,,,,203.0,44.0,135.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-44,Municipales,2020,2,2020-06-28,8,45,12,44,25,1514,536,536,12,12,512,,,,248.0,66.0,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-45,Municipales,2020,2,2020-06-28,8,45,12,45,10,1287,365,365,7,7,351,,,,162.0,36.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-46,Municipales,2020,2,2020-06-28,8,47,12,46,24,1524,507,507,5,2,500,,,,263.0,60.0,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-47,Municipales,2020,2,2020-06-28,8,47,12,47,19,1451,467,467,9,5,453,,,,254.0,53.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-48,Municipales,2020,2,2020-06-28,8,47,12,48,27,1549,491,492,5,7,480,,,,293.0,50.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-49,Municipales,2020,2,2020-06-28,8,47,12,49,27,1600,594,594,7,8,579,,,,355.0,81.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-50,Municipales,2020,2,2020-06-28,8,47,12,50,23,1637,524,524,9,6,509,,,,311.0,54.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-51,Municipales,2020,2,2020-06-28,7,48,12,51,38,1505,512,512,3,6,503,,,,276.0,64.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-52,Municipales,2020,2,2020-06-28,7,48,12,52,37,1261,519,519,7,4,508,,,,298.0,68.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-53,Municipales,2020,2,2020-06-28,7,48,12,53,68,1624,732,732,8,8,716,,,,423.0,97.0,196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-54,Municipales,2020,2,2020-06-28,7,48,12,54,36,1456,480,480,9,6,465,,,,258.0,57.0,150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-55,Municipales,2020,2,2020-06-28,7,48,12,55,47,1485,649,649,11,6,632,,,,413.0,63.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-56,Municipales,2020,2,2020-06-28,7,48,12,56,34,1476,630,630,7,8,615,,,,410.0,79.0,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-57,Municipales,2020,2,2020-06-28,7,48,12,57,49,1519,587,587,13,2,572,,,,375.0,69.0,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-58,Municipales,2020,2,2020-06-28,7,48,12,58,36,1443,621,621,10,13,598,,,,378.0,74.0,146.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-59,Municipales,2020,2,2020-06-28,7,48,12,59,19,1249,527,527,7,3,517,,,,322.0,46.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-60,Municipales,2020,2,2020-06-28,7,48,12,60,35,1389,511,512,10,7,495,,,,316.0,57.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-61,Municipales,2020,2,2020-06-28,8,47,12,61,27,1486,609,609,12,10,587,,,,315.0,57.0,215.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-62,Municipales,2020,2,2020-06-28,7,48,12,62,19,1411,600,600,8,6,586,,,,399.0,64.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-63,Municipales,2020,2,2020-06-28,7,48,12,63,22,1350,494,494,11,8,475,,,,277.0,44.0,154.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-64,Municipales,2020,2,2020-06-28,8,45,12,64,26,1276,527,527,5,4,518,,,,277.0,83.0,158.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-1,Municipales,2020,2,2020-06-28,2,22,6,1,29,1320,462,462,9,0,453,,,,,,,155.0,61.0,237.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-2,Municipales,2020,2,2020-06-28,2,22,6,2,79,1279,501,501,2,2,497,,,,,,,153.0,74.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-3,Municipales,2020,2,2020-06-28,2,22,6,3,57,1428,568,568,13,6,549,,,,,,,206.0,71.0,272.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-4,Municipales,2020,2,2020-06-28,2,21,6,4,22,1129,413,414,6,2,406,,,,,,,149.0,68.0,189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-5,Municipales,2020,2,2020-06-28,2,21,6,5,41,1194,424,424,6,1,417,,,,,,,167.0,57.0,193.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-6,Municipales,2020,2,2020-06-28,2,21,6,6,29,1130,442,442,7,1,434,,,,,,,168.0,50.0,216.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-7,Municipales,2020,2,2020-06-28,2,24,6,7,38,1012,378,378,3,5,370,,,,,,,113.0,51.0,206.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8,Municipales,2020,2,2020-06-28,2,24,6,8,29,1018,379,379,7,5,367,,,,,,,109.0,75.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-9,Municipales,2020,2,2020-06-28,2,24,6,9,36,899,361,359,2,1,356,,,,,,,112.0,62.0,182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-10,Municipales,2020,2,2020-06-28,2,22,6,10,46,1121,481,481,8,6,467,,,,,,,138.0,102.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-11,Municipales,2020,2,2020-06-28,11,23,6,11,28,1263,463,463,1,4,458,,,,,,,142.0,65.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-12,Municipales,2020,2,2020-06-28,11,23,6,12,40,1127,466,466,1,3,462,,,,,,,117.0,74.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-13,Municipales,2020,2,2020-06-28,11,23,6,13,85,1338,564,564,3,7,554,,,,,,,163.0,82.0,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-14,Municipales,2020,2,2020-06-28,11,23,6,14,46,1234,476,476,7,5,464,,,,,,,145.0,48.0,271.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-15,Municipales,2020,2,2020-06-28,11,23,6,15,49,1223,462,462,5,2,455,,,,,,,144.0,60.0,251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-16,Municipales,2020,2,2020-06-28,11,23,6,16,51,1496,546,546,7,7,532,,,,,,,170.0,81.0,281.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-17,Municipales,2020,2,2020-06-28,11,23,6,17,31,1502,633,633,7,2,624,,,,,,,227.0,103.0,294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-18,Municipales,2020,2,2020-06-28,11,23,6,18,29,1035,429,429,8,1,420,,,,,,,144.0,51.0,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-19,Municipales,2020,2,2020-06-28,11,23,6,19,27,1063,433,433,2,1,430,,,,,,,122.0,72.0,236.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-20,Municipales,2020,2,2020-06-28,11,23,6,20,33,1185,482,482,5,3,474,,,,,,,124.0,81.0,269.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-21,Municipales,2020,2,2020-06-28,11,23,6,21,30,1133,460,459,10,3,446,,,,,,,199.0,34.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-22,Municipales,2020,2,2020-06-28,11,23,6,22,39,1266,536,536,6,7,523,,,,,,,174.0,86.0,263.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-1,Municipales,2020,2,2020-06-28,5,39,10,1,51,1521,599,600,14,5,581,,,,,,,,,,124.0,414.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-2,Municipales,2020,2,2020-06-28,5,39,10,2,15,1679,649,649,13,5,631,,,,,,,,,,121.0,436.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-3,Municipales,2020,2,2020-06-28,5,39,10,3,50,1548,639,639,19,7,613,,,,,,,,,,130.0,426.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-4,Municipales,2020,2,2020-06-28,5,39,10,4,34,1380,534,534,16,2,516,,,,,,,,,,96.0,371.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-5,Municipales,2020,2,2020-06-28,5,39,10,5,31,1334,511,511,10,2,499,,,,,,,,,,104.0,342.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-6,Municipales,2020,2,2020-06-28,5,39,10,6,35,1431,565,566,6,4,556,,,,,,,,,,128.0,377.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-7,Municipales,2020,2,2020-06-28,5,39,10,7,36,1372,528,528,7,5,516,,,,,,,,,,94.0,363.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-8,Municipales,2020,2,2020-06-28,5,39,10,8,58,1597,634,634,13,4,617,,,,,,,,,,103.0,427.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-9,Municipales,2020,2,2020-06-28,5,39,10,9,48,1619,625,625,8,6,611,,,,,,,,,,155.0,365.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-10,Municipales,2020,2,2020-06-28,5,39,10,10,39,1392,584,584,9,9,566,,,,,,,,,,99.0,415.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-11,Municipales,2020,2,2020-06-28,5,40,10,11,44,1563,608,608,9,8,591,,,,,,,,,,100.0,427.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-12,Municipales,2020,2,2020-06-28,5,40,10,12,32,1560,566,566,7,6,553,,,,,,,,,,63.0,459.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-13,Municipales,2020,2,2020-06-28,5,40,10,13,18,1616,523,523,12,4,507,,,,,,,,,,80.0,387.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-14,Municipales,2020,2,2020-06-28,5,40,10,14,25,1640,608,608,9,3,596,,,,,,,,,,90.0,468.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-15,Municipales,2020,2,2020-06-28,5,40,10,15,32,1385,543,543,6,3,534,,,,,,,,,,102.0,379.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-16,Municipales,2020,2,2020-06-28,5,40,10,16,22,1418,513,513,16,1,496,,,,,,,,,,100.0,355.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-17,Municipales,2020,2,2020-06-28,5,40,10,17,10,1332,398,398,12,4,382,,,,,,,,,,142.0,217.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-18,Municipales,2020,2,2020-06-28,5,40,10,18,15,1437,491,491,14,18,459,,,,,,,,,,131.0,278.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-19,Municipales,2020,2,2020-06-28,5,40,10,19,27,1214,435,435,14,4,417,,,,,,,,,,125.0,241.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Municipales,2020,2,2020-06-28,5,40,10,20,41,1342,523,523,13,6,504,,,,,,,,,,99.0,353.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-21,Municipales,2020,2,2020-06-28,5,40,10,21,28,1357,433,433,9,3,421,,,,,,,,,,101.0,279.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-22,Municipales,2020,2,2020-06-28,5,40,10,22,84,1396,543,544,12,4,528,,,,,,,,,,101.0,380.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-23,Municipales,2020,2,2020-06-28,5,37,10,23,41,1249,506,506,12,3,491,,,,,,,,,,113.0,314.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-24,Municipales,2020,2,2020-06-28,5,37,10,24,53,1272,478,478,11,5,462,,,,,,,,,,104.0,323.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-25,Municipales,2020,2,2020-06-28,5,37,10,25,27,1365,568,569,11,5,553,,,,,,,,,,128.0,382.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-26,Municipales,2020,2,2020-06-28,5,37,10,26,37,1263,524,524,6,3,515,,,,,,,,,,126.0,350.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-27,Municipales,2020,2,2020-06-28,5,37,10,27,51,1520,529,529,7,5,517,,,,,,,,,,118.0,362.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-28,Municipales,2020,2,2020-06-28,5,37,10,28,32,1401,554,554,13,9,532,,,,,,,,,,159.0,328.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-29,Municipales,2020,2,2020-06-28,5,37,10,29,47,1399,548,548,9,2,537,,,,,,,,,,144.0,319.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-30,Municipales,2020,2,2020-06-28,5,37,10,30,32,1421,556,556,10,5,541,,,,,,,,,,147.0,333.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-31,Municipales,2020,2,2020-06-28,5,37,10,31,25,1226,474,474,8,8,458,,,,,,,,,,123.0,269.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-32,Municipales,2020,2,2020-06-28,5,37,10,32,37,1317,514,514,12,6,496,,,,,,,,,,97.0,337.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-33,Municipales,2020,2,2020-06-28,5,38,10,33,28,1442,502,502,8,4,490,,,,,,,,,,96.0,334.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-34,Municipales,2020,2,2020-06-28,5,38,10,34,25,1462,565,565,13,1,551,,,,,,,,,,132.0,341.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-35,Municipales,2020,2,2020-06-28,5,38,10,35,35,1382,550,550,9,4,537,,,,,,,,,,127.0,323.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-36,Municipales,2020,2,2020-06-28,5,38,10,36,50,1409,573,573,16,5,552,,,,,,,,,,110.0,376.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-37,Municipales,2020,2,2020-06-28,5,38,10,37,31,1325,500,500,6,6,488,,,,,,,,,,100.0,331.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-38,Municipales,2020,2,2020-06-28,5,38,10,38,49,1562,646,646,8,6,632,,,,,,,,,,126.0,435.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-39,Municipales,2020,2,2020-06-28,5,38,10,39,84,1655,623,623,9,1,613,,,,,,,,,,110.0,420.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-1,Municipales,2020,2,2020-06-28,7,14,4,1,32,1268,504,503,6,6,491,,,,,,,,,,,,,49.0,215.0,227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-2,Municipales,2020,2,2020-06-28,7,14,4,2,28,1141,516,516,15,2,499,,,,,,,,,,,,,82.0,144.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-3,Municipales,2020,2,2020-06-28,7,14,4,3,45,1412,587,587,9,7,571,,,,,,,,,,,,,63.0,159.0,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-4,Municipales,2020,2,2020-06-28,7,14,4,4,57,1311,581,581,9,9,563,,,,,,,,,,,,,73.0,172.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
