ID_BVOTE,SCRUTIN,ANNEE,TOUR,DATE,NUM_CIRC,NUM_QUARTIER,NUM_ARROND,NUM_BUREAU,NB_PROCU,NB_INSCR,NB_EMARG,NB_VOTANT,NB_BLANC,NB_NUL,NB_EXPRIM,M. PENG Chang Hua,M. COUMET Jérôme,M. OLIVIER Jean-Baptiste,M. GRÉGOIRE Emmanuel,Mme MAZETIER Sandrine,Mme MONTANDON Valérie,Mme HERVIEU Céline    ,M. GANTZER Gaspard    ,M. LECOQ Jean-Pierre    ,M. FORT Bertil,Mme CORDEBARD Alexandra    ,M. AMELLAL Karim,M. RUPIN Pacôme    ,M. VÉRON Aurélien,M. WEIL Ariel,Mme LEMARDELEY Marie-Christine,Mme BERTHOUT Florence,Mme Garnier Nelly,M. VAUGLIN François,M. POITOUX Guillaume,Mme IBLED Catherine,Mme EVREN Agnès,Mme TORANIAN Anouch,M. VILLANI Cédric,Mme CARRERE-GEE Marie-Claire,M. AZIERE Éric,PETIT Carine,M. SZPINER Francis,Mme SEBBAH Hanna,Mme BUZIN Agnès ,M. BOULARD Geoffroy    ,Mme TAÏEB Karen,M. ROUXEL Olivier,DAGNAUD François,Mme TOUBIANA Marie,LEJOINDRE Eric,BOURNAZEL Pierre-Yves,M. GRANIER Rudolph,M. PLIEZ Eric,M. DIDIER François-Marie,Mme SIMONNET Danielle,Mme CALANDRA Frédérique,Mme D'HAUTESERRE Jeanne,Mme LÉCUYER Catherine   ,Mme MICHEL Athénaïs,Mme SEGOND Sophie    ,M. MAURIN Pierre,Mme BURKLI Delphine,M. NGATCHA Arnaud
18-14,Municipales,2020,2,2020-06-28,18,70,18,14,29,1900,567,567,11,8,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368.0,93.0,87.0,,,,,,,,,,,
18-15,Municipales,2020,2,2020-06-28,18,70,18,15,18,1495,514,514,5,5,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356.0,63.0,85.0,,,,,,,,,,,
18-16,Municipales,2020,2,2020-06-28,18,70,18,16,43,1614,567,567,8,7,552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349.0,99.0,104.0,,,,,,,,,,,
18-17,Municipales,2020,2,2020-06-28,18,70,18,17,43,1838,644,644,18,16,610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.0,84.0,93.0,,,,,,,,,,,
18-18,Municipales,2020,2,2020-06-28,18,70,18,18,41,1845,710,710,18,2,690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.0,79.0,101.0,,,,,,,,,,,
18-19,Municipales,2020,2,2020-06-28,18,70,18,19,42,1799,687,687,24,2,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.0,97.0,102.0,,,,,,,,,,,
18-20,Municipales,2020,2,2020-06-28,18,70,18,20,48,1701,624,624,15,7,602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0,78.0,105.0,,,,,,,,,,,
18-21,Municipales,2020,2,2020-06-28,18,70,18,21,40,1656,622,623,13,16,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.0,88.0,114.0,,,,,,,,,,,
18-22,Municipales,2020,2,2020-06-28,18,70,18,22,19,1496,495,495,4,6,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.0,82.0,103.0,,,,,,,,,,,
18-23,Municipales,2020,2,2020-06-28,18,70,18,23,28,1498,516,516,13,4,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.0,102.0,100.0,,,,,,,,,,,
18-24,Municipales,2020,2,2020-06-28,18,70,18,24,29,1534,564,564,12,2,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0,106.0,115.0,,,,,,,,,,,
18-25,Municipales,2020,2,2020-06-28,18,69,18,25,57,1492,627,626,8,2,616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.0,145.0,175.0,,,,,,,,,,,
18-26,Municipales,2020,2,2020-06-28,18,69,18,26,23,1454,515,515,11,5,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.0,106.0,91.0,,,,,,,,,,,
18-27,Municipales,2020,2,2020-06-28,18,69,18,27,25,1432,492,492,12,4,476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,91.0,73.0,,,,,,,,,,,
18-28,Municipales,2020,2,2020-06-28,18,69,18,28,38,1761,679,680,23,8,649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,377.0,123.0,149.0,,,,,,,,,,,
18-29,Municipales,2020,2,2020-06-28,18,69,18,29,41,1620,614,615,11,6,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.0,129.0,131.0,,,,,,,,,,,
18-30,Municipales,2020,2,2020-06-28,18,69,18,30,29,1767,693,693,10,5,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,139.0,160.0,,,,,,,,,,,
18-31,Municipales,2020,2,2020-06-28,18,69,18,31,26,1813,694,694,8,2,684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.0,94.0,150.0,,,,,,,,,,,
18-32,Municipales,2020,2,2020-06-28,18,69,18,32,28,1646,605,605,10,1,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,127.0,143.0,,,,,,,,,,,
18-33,Municipales,2020,2,2020-06-28,18,69,18,33,11,1643,558,558,6,12,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,145.0,116.0,,,,,,,,,,,
18-34,Municipales,2020,2,2020-06-28,18,69,18,34,27,1789,603,603,15,7,581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,116.0,148.0,,,,,,,,,,,
18-35,Municipales,2020,2,2020-06-28,18,69,18,35,32,1531,570,570,6,5,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0,134.0,147.0,,,,,,,,,,,
18-36,Municipales,2020,2,2020-06-28,18,69,18,36,34,1549,575,575,10,4,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323.0,107.0,131.0,,,,,,,,,,,
18-37,Municipales,2020,2,2020-06-28,18,69,18,37,30,1576,554,554,9,3,542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.0,119.0,132.0,,,,,,,,,,,
18-38,Municipales,2020,2,2020-06-28,3,69,18,38,37,1587,577,577,12,6,559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,322.0,129.0,108.0,,,,,,,,,,,
18-39,Municipales,2020,2,2020-06-28,3,69,18,39,21,1740,590,590,13,9,568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.0,104.0,154.0,,,,,,,,,,,
18-40,Municipales,2020,2,2020-06-28,3,69,18,40,38,1630,626,626,13,10,603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.0,137.0,147.0,,,,,,,,,,,
18-41,Municipales,2020,2,2020-06-28,3,69,18,41,19,1666,528,528,16,8,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.0,95.0,97.0,,,,,,,,,,,
18-42,Municipales,2020,2,2020-06-28,3,69,18,42,16,1685,507,507,10,9,488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.0,79.0,132.0,,,,,,,,,,,
18-43,Municipales,2020,2,2020-06-28,3,69,18,43,12,1702,523,523,15,10,498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,261.0,85.0,152.0,,,,,,,,,,,
18-44,Municipales,2020,2,2020-06-28,3,69,18,44,9,1335,265,264,10,1,253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,46.0,79.0,,,,,,,,,,,
18-45,Municipales,2020,2,2020-06-28,3,69,18,45,15,1580,443,442,13,5,424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257.0,68.0,99.0,,,,,,,,,,,
18-46,Municipales,2020,2,2020-06-28,3,69,18,46,17,1450,526,526,11,4,511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,107.0,137.0,,,,,,,,,,,
18-47,Municipales,2020,2,2020-06-28,3,69,18,47,35,1281,498,498,11,3,484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.0,73.0,82.0,,,,,,,,,,,
18-48,Municipales,2020,2,2020-06-28,3,69,18,48,29,1296,431,431,10,11,410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.0,49.0,76.0,,,,,,,,,,,
18-49,Municipales,2020,2,2020-06-28,18,69,18,49,2,1109,259,261,7,8,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.0,56.0,62.0,,,,,,,,,,,
18-50,Municipales,2020,2,2020-06-28,18,69,18,50,3,1137,259,259,8,11,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.0,36.0,79.0,,,,,,,,,,,
18-51,Municipales,2020,2,2020-06-28,17,71,18,51,11,1708,372,372,5,7,360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.0,38.0,116.0,,,,,,,,,,,
18-52,Municipales,2020,2,2020-06-28,17,71,18,52,43,1797,635,635,11,7,617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.0,76.0,122.0,,,,,,,,,,,
18-53,Municipales,2020,2,2020-06-28,17,71,18,53,27,1380,469,469,10,6,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,64.0,99.0,,,,,,,,,,,
18-54,Municipales,2020,2,2020-06-28,17,71,18,54,36,1299,428,428,15,6,407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,35.0,86.0,,,,,,,,,,,
18-55,Municipales,2020,2,2020-06-28,17,71,18,55,30,1574,516,516,10,4,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397.0,38.0,67.0,,,,,,,,,,,
