id_bvote, scrutin, annee, tour, date, num_circ, num_quartier, num_arrond, num_bureau, nb_procu, nb_inscr, nb_emarg, nb_blanc, nb_nul, nb_exprim
12-37,Municipales,2020,2,2020-06-28,8,45,12,37,13,1344,454,454,16,2
12-38,Municipales,2020,2,2020-06-28,8,45,12,38,17,1552,575,575,6,5
12-39,Municipales,2020,2,2020-06-28,8,45,12,39,25,1219,470,470,5,7
12-40,Municipales,2020,2,2020-06-28,8,45,12,40,0,1278,499,500,9,8
12-41,Municipales,2020,2,2020-06-28,8,45,12,41,21,1283,526,526,10,5
12-42,Municipales,2020,2,2020-06-28,8,45,12,42,29,1360,517,517,7,8
12-43,Municipales,2020,2,2020-06-28,8,45,12,43,11,1165,397,398,12,4
12-44,Municipales,2020,2,2020-06-28,8,45,12,44,25,1514,536,536,12,12
12-45,Municipales,2020,2,2020-06-28,8,45,12,45,10,1287,365,365,7,7
12-46,Municipales,2020,2,2020-06-28,8,47,12,46,24,1524,507,507,5,2
12-47,Municipales,2020,2,2020-06-28,8,47,12,47,19,1451,467,467,9,5
12-48,Municipales,2020,2,2020-06-28,8,47,12,48,27,1549,491,492,5,7
12-49,Municipales,2020,2,2020-06-28,8,47,12,49,27,1600,594,594,7,8
12-50,Municipales,2020,2,2020-06-28,8,47,12,50,23,1637,524,524,9,6
12-51,Municipales,2020,2,2020-06-28,7,48,12,51,38,1505,512,512,3,6
12-52,Municipales,2020,2,2020-06-28,7,48,12,52,37,1261,519,519,7,4
12-53,Municipales,2020,2,2020-06-28,7,48,12,53,68,1624,732,732,8,8
12-54,Municipales,2020,2,2020-06-28,7,48,12,54,36,1456,480,480,9,6
12-55,Municipales,2020,2,2020-06-28,7,48,12,55,47,1485,649,649,11,6
12-56,Municipales,2020,2,2020-06-28,7,48,12,56,34,1476,630,630,7,8
12-57,Municipales,2020,2,2020-06-28,7,48,12,57,49,1519,587,587,13,2
12-58,Municipales,2020,2,2020-06-28,7,48,12,58,36,1443,621,621,10,13
